CountryCode,Population
AF,30552
AL,2897
DZ,39208
AS,55
ADO,79
AO,21472
AG,90
AR,41446
AM,2977
AW,103
AU,23129
AT,8480
AZ,9417
BS,377
BH,1332
BD,156595
BB,285
BY,9466
BE,11183
BZ,332
BJ,10323
BM,65
BT,754
BO,10671
BA,3829
BW,2021
BR,200362
BN,418
BG,7265
BF,16935
BI,10163
CV,499
KH,15135
CM,22254
CA,35154
KY,58
CF,4616
TD,12825
CHI,162
CL,17620
CN,1357380
CO,48321
KM,735
ZAR,67514
CG,4448
CR,4872
CI,20316
HR,4256
CU,11266
CW,154
CY,1141
CZ,10514
DK,5615
DJ,873
DM,72
DO,10404
EC,15738
EG,82056
SV,6340
GQ,757
ER,6333
EE,1318
ET,94101
FO,49
FJ,881
FI,5439
FR,65940
PF,277
GA,1672
GM,1849
GE,4487
DE,80652
GH,25905
GR,11028
GL,56
GD,106
GU,165
GT,15468
GN,11745
GW,1704
GY,800
HT,10317
HN,8098
HK,7188
HU,9894
IS,324
IN,1252140
ID,249866
IR,77447
IQ,33417
IE,4598
IMY,86
IL,8060
IT,60234
JM,2715
JP,127339
JO,6460
KZ,17035
KE,44354
KI,102
KP,24895
KR,50220
KSV,1824
KW,3369
KG,5720
LA,6770
LV,2013
LB,4467
LS,2074
LR,4294
LY,6202
LI,37
LT,2958
LU,543
MO,566
MK,2107
MG,22925
MW,16363
MY,29717
MV,345
ML,15302
MT,423
MH,53
MR,3890
MU,1259
MX,122332
FM,104
MD,3559
MC,38
MN,2839
ME,621
MA,33008
MZ,25834
MM,53259
NA,2303
NP,27797
NL,16804
NC,262
NZ,4442
NI,6080
NE,17831
NG,173615
MP,54
NO,5080
OM,3632
PK,182143
PW,21
PA,3864
PG,7321
PY,6802
PE,30376
PH,98394
PL,38514
PT,10457
PR,3615
QA,2169
ROM,19981
RU,143500
RW,11777
WS,190
SM,31
ST,193
SA,28829
SN,14133
RS,7164
SC,89
SL,6092
SG,5399
SX,40
SK,5413
SI,2060
SB,561
SO,10496
ZA,53157
SS,11296
ES,46618
LK,20483
KN,54
LC,182
MF,31
VC,109
SD,37964
SR,539
SZ,1250
SE,9600
CH,8088
SY,22846
TJ,8208
TZ,49253
TH,67011
TMP,1180
TG,6817
TO,105
TT,1341
TN,10887
TR,74933
TM,5240
TC,33
TV,10
UG,37579
UA,45490
AE,9346
GB,64107
US,316129
UY,3407
UZ,30243
VU,253
VE,30405
VN,89709
VI,105
WBG,4170
YE,24407
ZM,14539
ZW,14150
