Region,id,population,categ
auvergne-rhône-alpes,84,7513287,23671
bretagne,53,3175064,8426
centre-val de loire,24,2526919,7997
corse,94,299209,1368
ile de france,11,11798427,18525
pays de la loire,52,3539048,11063
provence alpes cote d'azur,93,4889053,19146
normandie,28,3278145,11564
nord-pas-de-calais-picardie,32,5922030,18858
languedoc-roussillon-midi-pyrénées,76,5371429,20779
alsace-champagne-ardenne-lorraine,44,5506616,11344
aquitaine-limousin-poitou-charentes,75,5682918,21257
bourgogne-franche-comté,27,2792562,9166
