id;country;value
1;Afghanistan;0
2;Republic of Albania;0
3;Algeria;0
4;American Samoa;0
5;Andorra;0
6;Angola;0
7;Anguilla;0
8;Antigua and Barbuda;0
9;Argentina;0
10;Armenia;0
11;Aruba;0
12;St. Helena;0
13;Australia;0
14;Austria;0
15;Azerbaijan;0
16;Bahamas;0
17;Bahrain;0
18;Bangladesh;0
19;Barbados;0
20;Belarus;0
21;Belgium;0
22;Belize;0
23;Benin;0
24;Bermuda;0
25;Bhutan;0
26;Bolivia;0
27;Netherlands Antilles;0
28;Bosnia and Herzegovina;0
29;Botswana;0
30;Brazil;0
31;British Virgin Islands;0
32;Brunei;0
33;Bulgaria;0
34;Burkina Faso;0
35;Burma;0
36;Burundi;0
37;Cambodia;0
38;Cameroon;0
39;Canada;0
40;Cape Verde;0
41;Cayman Islands;0
42;Central African Republic;0
43;Chad;0
44;Chile;0
45;China;0
46;Christmas Island;0
47;Cocos Islands;0
48;Colombia;0
49;Comoros;0
50;Cook Islands;0
51;Costa Rica;0
52;Cote d'Ivoire;0
53;Croatia;0
54;Cuba;0
55;UC;0
56;Cyprus;0
57;Czech Republic;0
58;Democratic Republic of the Congo;0
59;Denmark;0
60;Djibouti;0
61;Dominica;0
62;Dominican Republic;0
63;Ecuador;0
64;Egypt;0
65;El Salvador;0
66;Equatorial Guinea;0
67;Eritrea;0
68;Estonia;0
69;Ethiopia;0
70;Falkland Islands;0
71;Federated States of Micronesia;0
72;Fiji;0
73;Finland;0
74;France;0
75;French Guiana;0
76;French Polynesia;0
77;Gabon;0
78;Gambia;0
79;Gaza Strip;0
80;Georgia;0
81;Germany;0
82;Ghana;0
83;Gibraltar;0
84;Greece;0
85;Greenland;0
86;Grenada;0
87;Guadeloupe;0
88;Guam;0
89;Guatemala;0
90;Guinea;0
91;Guinea-Bissau;0
92;Guyana;0
93;Haiti;0
94;Honduras;0
95;Hungary;0
96;Iceland;0
97;India;0
98;Indonesia;0
99;Iran;0
100;Iraq;0
101;Ireland;0
102;Israel;0
103;Italy;0
104;Jamaica;0
105;Japan;0
106;Jordan;0
107;Kazakhstan;0
108;Kenya;0
109;Kiribati;0
110;Kosovo;0
111;Kuwait;0
112;Kyrgyzstan;0
113;Laos;0
114;Latvia;0
115;Lebanon;0
116;Lesotho;0
117;Liberia;0
118;Libya;0
119;Liechtenstein;0
120;Lithuania;0
121;Luxembourg;0
122;Macedonia;0
123;Madagascar;0
124;Malawi;0
125;Malaysia;0
126;Maldives;0
127;Mali;0
128;Malta;0
129;Marshall Islands;0
130;Martinique;0
131;Mauritania;0
132;Mauritius;0
133;Mayotte;0
134;Mexico;0
135;Moldova;0
136;Monaco;0
137;Mongolia;0
138;Montenegro;0
139;Montserrat;0
140;Morocco;0
141;Mozambique;0
142;Namibia;0
143;Nauru;0
144;Nepal;0
145;Netherlands;0
146;New Caledonia;0
147;New Zealand;0
148;Nicaragua;0
149;Niger;0
150;Nigeria;0
151;Niue;0
152;Norfolk Island;0
153;North Korea;0
154;Northern Mariana Islands;0
155;Norway;0
156;Oman;0
157;Pakistan;0
158;Palau;0
159;Panama;0
160;Papua New Guinea;0
161;Paraguay;0
162;Peru;0
163;Philippines;0
164;Pitcairn Islands;0
165;Poland;0
166;Portugal;0
167;Puerto Rico;0
168;Qatar;0
169;Republic of the Congo;0
170;Reunion;0
171;Romania;0
172;Russia;0
173;Rwanda;0
174;TB;0
175;Saint Kitts and Nevis;0
176;Saint Lucia;0
177;Kirundi;0
178;St. Pierre & Miquelon;0
179;Saint Vincent and the Grenadines;0
180;Samoa;0
181;San Marino;0
182;Sao Tome and Principe;0
183;Saudi Arabia;0
184;Senegal;0
185;Serbia;0
186;Seychelles;0
187;Sierra Leone;0
188;Singapore;0
189;Norwegian Nynorsk;0
190;Slovakia;0
191;Slovenia;0
192;Solomon Islands;0
193;Somalia;0
194;South Africa;0
195;South Korea;0
196;South Sudan;0
197;Spain;0
198;Sri Lanka;0
199;Sudan;0
200;Suriname;0
201;Swaziland;0
202;Sweden;0
203;Switzerland;0
204;Syria;0
205;Taiwan;0
206;Tajikistan;0
207;Tanzania;0
208;Thailand;0
209;Timor-Leste;0
210;Togo;0
211;Tokelau;0
212;Tonga;0
213;Trinidad and Tobago;0
214;Tunisia;0
215;Turkey;0
216;Turkmenistan;0
217;Turks & Caicos Islands;0
218;Tuvalu;0
219;Uganda;0
220;Ukraine;0
221;United Arab Emirates;0
222;United Kingdom;0
223;United States of America;0
224;Uruguay;0
225;US Virgin Islands;0
226;Uzbekistan;0
227;Vanuatu;0
228;Vatican City;0
229;Venezuela;0
230;Vietnam;0
231;Wallis & Futuna;0
232;West Bank;0
233;Western Sahara;0
234;Yemen;0
235;Zambia;0
236;Zimbabwe;0
