name,relationship
chord.Antigua & Barbuda.Antigua & Barbuda,chord.Argentina.Argentina
chord.Antigua & Barbuda.Antigua & Barbuda,chord.Andorra.Andorra
chord.Antigua & Barbuda.Antigua & Barbuda,chord.Austria.Austria
chord.Antigua & Barbuda.Antigua & Barbuda,chord.Albania.Albania
chord.Antigua & Barbuda.Antigua & Barbuda,chord.Armenia.Armenia
chord.Antigua & Barbuda.Antigua & Barbuda,chord.Azerbaijan.Azerbaijan
chord.Antigua & Barbuda.Antigua & Barbuda,chord.Angola.Angola
chord.Antigua & Barbuda.Antigua & Barbuda,chord.Algeria.Algeria
chord.Antigua & Barbuda.Antigua & Barbuda,chord.Afghanistan.Afghanistan
chord.Antigua & Barbuda.Antigua & Barbuda,chord.Australia.Australia
chord.Argentina.Argentina,chord.Andorra.Andorra
chord.Argentina.Argentina,chord.Austria.Austria
chord.Argentina.Argentina,chord.Albania.Albania
chord.Argentina.Argentina,chord.Armenia.Armenia
chord.Argentina.Argentina,chord.Azerbaijan.Azerbaijan
chord.Argentina.Argentina,chord.Angola.Angola
chord.Argentina.Argentina,chord.Algeria.Algeria
chord.Argentina.Argentina,chord.Afghanistan.Afghanistan
chord.Argentina.Argentina,chord.Australia.Australia
chord.Andorra.Andorra,chord.Austria.Austria
chord.Andorra.Andorra,chord.Albania.Albania
chord.Andorra.Andorra,chord.Armenia.Armenia
chord.Andorra.Andorra,chord.Azerbaijan.Azerbaijan
chord.Andorra.Andorra,chord.Angola.Angola
chord.Andorra.Andorra,chord.Algeria.Algeria
chord.Andorra.Andorra,chord.Afghanistan.Afghanistan
chord.Andorra.Andorra,chord.Australia.Australia
chord.Austria.Austria,chord.Albania.Albania
chord.Austria.Austria,chord.Armenia.Armenia
chord.Austria.Austria,chord.Azerbaijan.Azerbaijan
chord.Austria.Austria,chord.Angola.Angola
chord.Austria.Austria,chord.Algeria.Algeria
chord.Austria.Austria,chord.Afghanistan.Afghanistan
chord.Austria.Austria,chord.Australia.Australia
chord.Albania.Albania,chord.Armenia.Armenia
chord.Albania.Albania,chord.Azerbaijan.Azerbaijan
chord.Albania.Albania,chord.Angola.Angola
chord.Albania.Albania,chord.Algeria.Algeria
chord.Albania.Albania,chord.Afghanistan.Afghanistan
chord.Albania.Albania,chord.Australia.Australia
chord.Armenia.Armenia,chord.Azerbaijan.Azerbaijan
chord.Armenia.Armenia,chord.Angola.Angola
chord.Armenia.Armenia,chord.Algeria.Algeria
chord.Armenia.Armenia,chord.Afghanistan.Afghanistan
chord.Armenia.Armenia,chord.Australia.Australia
chord.Azerbaijan.Azerbaijan,chord.Angola.Angola
chord.Azerbaijan.Azerbaijan,chord.Algeria.Algeria
chord.Azerbaijan.Azerbaijan,chord.Afghanistan.Afghanistan
chord.Azerbaijan.Azerbaijan,chord.Australia.Australia
chord.Angola.Angola,chord.Algeria.Algeria
chord.Angola.Angola,chord.Afghanistan.Afghanistan
chord.Angola.Angola,chord.Australia.Australia
chord.Algeria.Algeria,chord.Afghanistan.Afghanistan
chord.Algeria.Algeria,chord.Australia.Australia
chord.Afghanistan.Afghanistan,chord.Australia.Australia
