country1,country2,import1,import2
Antigua & Barbuda,Argentina,.41,0
Antigua & Barbuda,Andorra,0,0
Antigua & Barbuda,Austria,.23,0
Antigua & Barbuda,Albania,7.60,0
Antigua & Barbuda,Armenia,0,0
Antigua & Barbuda,Azerbaijan,0,0
Antigua & Barbuda,Angola,0,0
Antigua & Barbuda,Algeria,3.07,0
Antigua & Barbuda,Afghanistan,0,0
Antigua & Barbuda,Australia,.37,.25
Argentina,Andorra,0,0
Argentina,Austria,139.02,103.74
Argentina,Albania,.01,10.13
Argentina,Armenia,.12,3.11
Argentina,Azerbaijan,.12,19.94
Argentina,Angola,0,180.11
Argentina,Algeria,.09,807.4
Argentina,Afghanistan,0,2.71
Argentina,Australia,183.31,314.03
Andorra,Austria,0,0
Andorra,Albania,0,0
Andorra,Armenia,0,0
Andorra,Azerbaijan,0,0
Andorra,Angola,0,0
Andorra,Algeria,0,0
Andorra,Afghanistan,0,0
Andorra,Australia,0,0
Austria,Albania,73.58,90.68
Austria,Armenia,.95,57.43
Austria,Azerbaijan,51.25,63.42
Austria,Angola,.02,38.73
Austria,Algeria,58.31,266.41
Austria,Afghanistan,.02,11.92
Austria,Australia,58.37,888.65
Albania,Armenia,.42,0
Albania,Azerbaijan,3.01,0
Albania,Angola,0,0
Albania,Algeria,0,1.13
Albania,Afghanistan,0,2.25
Albania,Australia,1.14,.23
Armenia,Azerbaijan,0,0
Armenia,Angola,0,0
Armenia,Algeria,.3,.04
Armenia,Afghanistan,0,0
Armenia,Australia,3.41,.69
Azerbaijan,Angola,0,.02
Azerbaijan,Algeria,0,.38
Azerbaijan,Afghanistan,.02,63.34
Azerbaijan,Australia,5.71,147.18
Angola,Algeria,1.4,.05
Angola,Afghanistan,0,0
Angola,Australia,9.18,.03
Algeria,Afghanistan,1.2,0
Algeria,Australia,41.27,132.45
Afghanistan,Australia,25.27,.18
